Subramaniam, Ajay Krishnan ID:663

1. thomas harris: 0.140210245756
2. su zhang: 0.100495797195
3. heather brown: 0.097192530098
4. ryan lingo: 0.0956204672216
5. brian wilson: 0.0952603132731
6. john morton: 0.0935317438571
7. joe lee: 0.0929328678446
8. wenli yang: 0.092791500474
9. edward armstrong: 0.0910639839918
10. anne wilson: 0.0907815705483
11. joseph long: 0.0900161958314
12. james gallagher: 0.0897036352942
13. michael tiemann: 0.0896911298571
14. julie morris: 0.0896167873344
15. jing li: 0.0893121904895
